ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
421,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,POST,http://127.0.0.1:5000/login,500,INTERNAL SERVER ERROR,40,194,265
422,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,POST,http://127.0.0.1:5000/login,500,INTERNAL SERVER ERROR,21,194,265
423,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,POST,http://127.0.0.1:5000/register,200,OK,30,175,607
424,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,POST,http://127.0.0.1:5000/login,500,INTERNAL SERVER ERROR,62,194,265
425,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,POST,http://127.0.0.1:5000/register,200,OK,23,175,607
426,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,POST,http://127.0.0.1:5000/login,200,OK,34,175,943
427,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,POST,http://127.0.0.1:5000/register,500,INTERNAL SERVER ERROR,48,194,265
428,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,POST,http://127.0.0.1:5000/register,500,INTERNAL SERVER ERROR,65,194,265
429,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,POST,http://127.0.0.1:5000/login,200,OK,26,175,943
430,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,POST,http://127.0.0.1:5000/register,500,INTERNAL SERVER ERROR,48,194,265
431,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,POST,http://127.0.0.1:5000/login,200,OK,30,175,943
432,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,POST,http://127.0.0.1:5000/login,500,INTERNAL SERVER ERROR,16,194,265
433,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,POST,http://127.0.0.1:5000/login,200,OK,13,175,943
434,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,GET,http://127.0.0.1:5000/product,404,NOT FOUND,24,182,207
435,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,POST,http://127.0.0.1:5000/login,302,FOUND,45,375,199
436,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,POST,http://127.0.0.1:5000/register,302,FOUND,67,385,199
437,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,POST,http://127.0.0.1:5000/login,302,FOUND,41,227,189
438,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,POST,http://127.0.0.1:5000/register,302,FOUND,63,399,205
439,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,POST,http://127.0.0.1:5000/login,302,FOUND,8,227,189
440,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,GET,http://127.0.0.1:5000/,200,OK,14,175,952
441,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,GET,http://127.0.0.1:5000/product,404,NOT FOUND,21,182,207
442,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,GET,http://127.0.0.1:5000/about,200,OK,31,175,319
443,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,GET,http://127.0.0.1:5000,200,OK,45,175,943
444,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,POST,http://127.0.0.1:5000/register,302,FOUND,47,399,205
445,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,GET,http://127.0.0.1:5000/login,200,OK,44,175,583
446,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,GET,http://127.0.0.1:5000/product,404,NOT FOUND,20,182,207
447,Tue Apr 21 16:50:16 IST 2026,Tue Apr 21 16:50:16 IST 2026,GET,http://127.0.0.1:5000/product/1,200,OK,18,175,403
